lsoa11cd,CURRENT_EPC_RATING_MODE,POTENTIAL_EPC_RATING_MODE,EPC_PROPERTY_COUNT,EPC_PROPERTY_AGE_BAND_MODE,VOA_PROPERTY_COUNT,VOA_PROPERTY_AGE_BAND_MODE,PROPERTIES_WITH_EPC_PERC
E01032501,D,B,266,1950-1966,520,1955-1964,0.51
E01032502,D,C,527,1950-1966,820,1955-1964,0.64
E01032503,D,C,295,1950-1966,640,1955-1964,0.46
E01032504,D,C,336,1930-1949,680,1930-1939,0.49
E01032606,D,C,542,1950-1966,950,1955-1964,0.57
E01032607,D,B,526,1900-1929,660,PRE-1900,0.8
E01032608,D,C,389,1900-1929,560,PRE-1900,0.69
E01032876,C,C,473,UNKNOWN,730,1955-1964,0.65
E01032945,D,C,891,1900-1929,930,1900-1918,0.96
E01032946,D,C,803,1900-1929,1100,PRE-1900,0.73
E01033002,C,B,1039,UNKNOWN,1200,2000-2008,0.87
E01033003,C,B,1188,2003-2006,1290,1965-1972,0.92
E01033005,C,C,977,1900-1929,1670,PRE-1900,0.59
E01033006,C,C,1257,1900-1929,1850,PRE-1900,0.68
E01033008,C,C,821,UNKNOWN,1230,2000-2008,0.67
E01033010,C,C,1085,UNKNOWN,2200,2000-2008,0.49
E01033011,C,B,922,2007-2020,930,1983-1992,0.99
E01033013,C,B,746,2007-2020,770,2000-2008,0.97
E01033015,C,B,1046,2003-2006,1090,2000-2008,0.96
E01033016,C,B,881,2003-2006,860,2000-2008,1.02
E01033018,C,B,659,2003-2006,750,2000-2008,0.88
E01033019,C,B,838,2003-2006,1020,2000-2008,0.82
E01033021,C,C,879,UNKNOWN,1090,2009-2011,0.81
E01033031,C,B,888,UNKNOWN,960,1965-1972,0.92
E01033032,B,B,1623,UNKNOWN,940,2000-2008,1.73
E01033033,C,B,546,2007-2020,820,2000-2008,0.67
E01033034,C,B,1025,2007-2020,1010,2000-2008,1.01
E01033035,C,C,712,UNKNOWN,770,1965-1972,0.92
