lsoa11cd,CURRENT_EPC_RATING_MODE,POTENTIAL_EPC_RATING_MODE,EPC_PROPERTY_COUNT,EPC_PROPERTY_AGE_BAND_MODE,VOA_PROPERTY_COUNT,VOA_PROPERTY_AGE_BAND_MODE,PROPERTIES_WITH_EPC_PERC
E01011507,D,B,363,1930-1949,670,1930-1939,0.54
E01011508,D,C,263,1930-1949,500,1930-1939,0.53
E01011509,D,C,382,1930-1949,680,1930-1939,0.56
E01011510,C,C,657,1950-1966,910,1955-1964,0.72
E01011511,D,C,338,1930-1949,550,1930-1939,0.61
E01011512,D,C,523,1930-1949,750,1930-1939,0.7
E01011513,D,C,607,1996-2002,980,2000-2008,0.62
E01011514,D,C,403,1930-1949,690,1930-1939,0.58
E01011515,D,C,414,1930-1949,690,1930-1939,0.6
E01011516,D,C,334,1930-1949,660,1930-1939,0.51
E01011517,D,B,489,1930-1949,780,1930-1939,0.63
E01011518,C,B,663,2003-2006,1020,2000-2008,0.65
E01011519,D,B,339,1950-1966,660,1955-1964,0.51
E01011520,D,B,327,1950-1966,690,1955-1964,0.47
E01011521,D,B,589,2003-2006,1040,2000-2008,0.57
E01011522,D,B,268,1950-1966,610,1965-1972,0.44
E01011523,D,B,486,1950-1966,860,PRE-1900,0.57
E01011524,D,B,297,1900-1929,590,1973-1982,0.5
E01011525,D,B,409,1950-1966,720,PRE-1900,0.57
E01011526,D,B,241,1983-1990,500,1983-1992,0.48
E01011527,D,B,352,1967-1975,780,1965-1972,0.45
E01011528,D,B,309,1996-2002,630,1993-1999,0.49
E01011529,D,C,285,1950-1966,590,1973-1982,0.48
E01011530,D,B,372,2003-2006,690,1965-1972,0.54
E01011531,D,B,404,1950-1966,780,1965-1972,0.52
E01011532,D,C,364,1950-1966,690,1945-1954,0.53
E01011533,D,C,444,1900-1929,740,PRE-1900,0.6
E01011534,B,B,713,UNKNOWN,960,PRE-1900,0.74
E01011535,D,B,346,UNKNOWN,710,1983-1992,0.49
E01011536,D,B,338,1950-1966,730,1955-1964,0.46
E01011537,D,B,479,1930-1949,1010,1965-1972,0.47
E01011538,D,B,367,1930-1949,670,1930-1939,0.55
E01011540,B,A,556,UNKNOWN,840,1945-1954,0.66
E01011541,D,C,883,UNKNOWN,1240,PRE-1900,0.71
E01011545,D,B,425,1900-1929,690,PRE-1900,0.62
E01011546,D,B,470,1930-1949,820,PRE-1900,0.57
E01011547,D,B,588,1950-1966,940,1965-1972,0.63
E01011548,D,B,328,1950-1966,670,1955-1964,0.49
E01011549,D,B,305,1983-1990,510,1983-1992,0.6
E01011550,D,B,274,1950-1966,570,1930-1939,0.48
E01011551,D,B,421,1900-1929,750,PRE-1900,0.56
E01011552,D,B,311,1930-1949,600,1945-1954,0.52
E01011553,D,B,333,1983-1990,640,1983-1992,0.52
E01011554,D,C,324,1950-1966,620,1955-1964,0.52
E01011555,D,B,265,1967-1975,580,1973-1982,0.46
E01011556,D,C,614,1930-1949,830,1955-1964,0.74
E01011557,D,C,340,1950-1966,620,1930-1939,0.55
E01011558,D,C,514,1950-1966,710,1945-1954,0.72
E01011559,D,C,444,1950-1966,620,1945-1954,0.72
E01011560,D,C,633,1950-1966,920,1945-1954,0.69
E01011561,D,C,325,PRE-1900,600,PRE-1900,0.54
E01011562,D,C,310,1950-1966,650,1955-1964,0.48
E01011563,C,C,338,1930-1949,670,1955-1964,0.5
E01011564,D,C,299,1930-1949,630,1930-1939,0.47
E01011565,D,C,332,1950-1966,620,1955-1964,0.54
E01011566,D,C,314,1967-1975,580,1965-1972,0.54
E01011567,D,B,302,1967-1975,610,1930-1939,0.5
E01011568,D,B,542,1983-1990,930,1983-1992,0.58
E01011569,D,C,599,PRE-1900,960,PRE-1900,0.62
E01011570,D,B,570,1996-2002,1010,2000-2008,0.56
E01011571,D,B,382,PRE-1900,810,PRE-1900,0.47
E01011572,D,B,436,1900-1929,860,PRE-1900,0.51
E01011573,D,B,267,1930-1949,560,1930-1939,0.48
E01011574,D,C,412,PRE-1900,740,PRE-1900,0.56
E01011576,D,C,323,1950-1966,610,1955-1964,0.53
E01011578,D,C,331,1930-1949,640,1930-1939,0.52
E01011579,D,B,277,1930-1949,540,1930-1939,0.51
E01011580,D,C,316,1930-1949,640,1930-1939,0.49
E01011581,D,B,287,1967-1975,730,1965-1972,0.39
E01011582,D,C,502,1950-1966,780,1945-1954,0.64
E01011583,D,B,281,1930-1949,610,1919-1929,0.46
E01011584,D,B,473,UNKNOWN,790,2015-2017,0.6
E01011585,D,B,361,1950-1966,680,1945-1954,0.53
E01011586,D,B,332,1950-1966,760,1955-1964,0.44
E01011587,D,C,487,PRE-1900,830,PRE-1900,0.59
E01011588,D,B,421,1930-1949,760,1945-1954,0.55
E01011589,D,B,461,PRE-1900,730,PRE-1900,0.63
E01011590,D,C,308,1950-1966,650,1955-1964,0.47
E01011591,D,B,551,1900-1929,860,PRE-1900,0.64
E01011592,D,C,518,PRE-1900,840,PRE-1900,0.62
E01011593,C,B,501,UNKNOWN,880,1955-1964,0.57
E01011594,D,B,345,1950-1966,630,1945-1954,0.55
E01011595,D,C,485,UNKNOWN,780,1955-1964,0.62
E01011596,D,B,482,1967-1975,820,1973-1982,0.59
E01011597,D,B,319,1930-1949,580,1930-1939,0.55
E01011598,D,B,457,PRE-1900,800,PRE-1900,0.57
E01011599,D,B,421,1950-1966,700,1955-1964,0.6
E01011600,D,B,387,PRE-1900,730,PRE-1900,0.53
E01011601,D,B,377,1950-1966,700,1955-1964,0.54
E01011602,C,C,611,UNKNOWN,930,PRE-1900,0.66
E01011603,D,B,372,PRE-1900,720,PRE-1900,0.52
E01011604,D,B,397,1900-1929,670,PRE-1900,0.59
E01011605,D,B,376,UNKNOWN,750,1955-1964,0.5
E01011606,D,B,307,1930-1949,780,1930-1939,0.39
E01011607,D,B,383,1950-1966,720,1945-1954,0.53
E01011608,D,C,334,1950-1966,610,1945-1954,0.55
E01011609,D,C,328,1950-1966,680,1955-1964,0.48
E01011610,D,B,416,PRE-1900,730,PRE-1900,0.57
E01011611,D,B,359,1950-1966,610,1955-1964,0.59
E01011612,D,C,494,1967-1975,750,PRE-1900,0.66
E01011613,B,B,464,UNKNOWN,710,1919-1929,0.65
E01011614,D,B,480,2003-2006,850,2000-2008,0.56
E01011615,D,B,381,1900-1929,680,1919-1929,0.56
E01011616,D,B,513,1930-1949,780,1930-1939,0.66
E01011617,D,B,378,1930-1949,700,1919-1929,0.54
E01011618,E,B,521,1900-1929,750,1900-1918,0.69
E01011620,D,C,267,1930-1949,510,1930-1939,0.52
E01011621,D,B,373,1930-1949,620,1919-1929,0.6
E01011622,D,C,419,1930-1949,710,1919-1929,0.59
E01011623,D,B,541,1900-1929,760,PRE-1900,0.71
E01011624,D,C,528,1930-1949,790,1930-1939,0.67
E01011625,D,B,598,1900-1929,790,PRE-1900,0.76
E01011626,C,B,952,1900-1929,1090,PRE-1900,0.87
E01011627,D,C,303,1930-1949,610,1965-1972,0.5
E01011628,D,B,248,1950-1966,610,1955-1964,0.41
E01011629,D,C,317,1950-1966,630,1945-1954,0.5
E01011630,C,B,494,2003-2006,890,1973-1982,0.56
E01011632,D,C,336,1950-1966,620,1955-1964,0.54
E01011633,D,B,345,1967-1975,640,1973-1982,0.54
E01011634,D,B,355,1950-1966,700,1955-1964,0.51
E01011635,D,C,511,1950-1966,800,PRE-1900,0.64
E01011636,D,B,483,UNKNOWN,850,1965-1972,0.57
E01011637,D,B,412,1900-1929,780,1900-1918,0.53
E01011638,D,B,267,1950-1966,660,1965-1972,0.4
E01011639,D,B,352,1950-1966,650,1919-1929,0.54
E01011641,D,C,330,1900-1929,630,PRE-1900,0.52
E01011642,D,C,291,1930-1949,520,1930-1939,0.56
E01011643,D,C,431,1967-1975,700,1955-1964,0.62
E01011644,D,C,385,UNKNOWN,590,1965-1972,0.65
E01011645,D,C,423,1900-1929,630,1930-1939,0.67
E01011646,D,B,372,1930-1949,660,1930-1939,0.56
E01011647,D,C,347,1930-1949,540,1930-1939,0.64
E01011648,D,B,331,1930-1949,580,1930-1939,0.57
E01011649,D,C,310,1967-1975,690,1965-1972,0.45
E01011650,D,C,320,1930-1949,610,1930-1939,0.52
E01011651,D,C,379,1930-1949,670,1930-1939,0.57
